timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2021-12-31T00:00:00.000Z";"2021-12-31T23:59:59.999Z";"2021-12-31T12:44:00.000Z";"2021-12-31T20:06:00.000Z";0.0171388308;0.0181134106;0.016771741;0.01705468;8085251.28;281253564.49;"2021-12-31T23:59:59.999Z"
"2021-12-30T00:00:00.000Z";"2021-12-30T23:59:59.999Z";"2021-12-30T13:03:20.000Z";"2021-12-30T00:21:15.000Z";0.0169055674;0.017456857;0.0166826276;0.0171381276;8265304.61;282627580.65;"2021-12-30T23:59:59.999Z"
"2021-12-29T00:00:00.000Z";"2021-12-29T23:59:59.999Z";"2021-12-29T03:15:27.000Z";"2021-12-29T23:39:25.000Z";0.0176245566;0.018036243;0.0167616967;0.0168882633;14056193.81;278504976.62;"2021-12-29T23:59:59.999Z"
"2021-12-28T00:00:00.000Z";"2021-12-28T23:59:59.999Z";"2021-12-28T00:05:10.000Z";"2021-12-28T19:19:15.000Z";0.0190827304;0.0190972979;0.0175524231;0.0176370338;14058443.53;290850742.28;"2021-12-28T23:59:59.999Z"
"2021-12-27T00:00:00.000Z";"2021-12-27T23:59:59.999Z";"2021-12-27T21:41:11.000Z";"2021-12-27T23:55:11.000Z";0.0193774772;0.0198516176;0.0190784482;0.0191153872;16197513.44;315227735.87;"2021-12-27T23:59:59.999Z"
"2021-12-26T00:00:00.000Z";"2021-12-26T23:59:59.999Z";"2021-12-26T10:07:13.000Z";"2021-12-26T00:21:25.000Z";0.0183811441;0.0198075662;0.0183239732;0.0193706399;22176367.04;319434604.15;"2021-12-26T23:59:59.999Z"
"2021-12-25T00:00:00.000Z";"2021-12-25T23:59:59.999Z";"2021-12-25T09:10:12.000Z";"2021-12-25T17:26:10.000Z";0.0180028811;0.0185689065;0.0179068906;0.0183760469;9408068.32;303030793.02;"2021-12-25T23:59:59.999Z"
"2021-12-24T00:00:00.000Z";"2021-12-24T23:59:59.999Z";"2021-12-24T14:23:10.000Z";"2021-12-24T23:17:10.000Z";0.01843477;0.0187775579;0.0178289685;0.0180031915;9087857.09;296880016.37;"2021-12-24T23:59:59.999Z"
"2021-12-23T00:00:00.000Z";"2021-12-23T23:59:59.999Z";"2021-12-23T18:37:14.000Z";"2021-12-23T07:56:09.000Z";0.0172443915;0.0187741831;0.0169482279;0.018404208;9270908.06;303490744.05;"2021-12-23T23:59:59.999Z"
"2021-12-22T00:00:00.000Z";"2021-12-22T23:59:59.999Z";"2021-12-22T21:48:23.000Z";"2021-12-22T12:56:10.000Z";0.0173496358;0.0181001504;0.0170964928;0.0172453846;9758442.69;284379190.25;"2021-12-22T23:59:59.999Z"
"2021-12-21T00:00:00.000Z";"2021-12-21T23:59:59.999Z";"2021-12-21T22:01:11.000Z";"2021-12-21T00:58:16.000Z";0.0166213891;0.0176372965;0.0165028268;0.0173507023;10476781.19;286113698.75;"2021-12-21T23:59:59.999Z"
"2021-12-20T00:00:00.000Z";"2021-12-20T23:59:59.999Z";"2021-12-20T21:31:11.000Z";"2021-12-20T14:14:09.000Z";0.0167105583;0.0169928258;0.0155957786;0.0166206323;9296789.2;274072703.87;"2021-12-20T23:59:59.999Z"
"2021-12-19T00:00:00.000Z";"2021-12-19T23:59:59.999Z";"2021-12-19T14:03:18.000Z";"2021-12-19T19:27:19.000Z";0.0169724855;0.0172497201;0.0164716985;0.0167144074;8070044.49;275617014.82;"2021-12-19T23:59:59.999Z"
