timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2021-12-31T00:00:00.000Z";"2021-12-31T23:59:59.999Z";"2021-12-31T09:11:00.000Z";"2021-12-31T21:02:00.000Z";61.6397742982;64.9742414059;59.2829327357;60.5310724483;37260083.48;720680300.34;"2021-12-31T23:59:59.999Z"
"2021-12-30T00:00:00.000Z";"2021-12-30T23:59:59.999Z";"2021-12-30T15:22:13.000Z";"2021-12-30T03:29:09.000Z";61.8379519004;63.4394211226;60.115615298;61.6360726692;44414509.51;733616420.89;"2021-12-30T23:59:59.999Z"
"2021-12-29T00:00:00.000Z";"2021-12-29T23:59:59.999Z";"2021-12-29T01:23:09.000Z";"2021-12-29T13:29:10.000Z";63.448544933;64.5285390139;60.1450117678;61.6494853095;57180532.4;733556051.73;"2021-12-29T23:59:59.999Z"
"2021-12-28T00:00:00.000Z";"2021-12-28T23:59:59.999Z";"2021-12-28T00:02:09.000Z";"2021-12-28T17:38:10.000Z";70.5189671275;70.6703527351;63.0685247484;63.4398906014;53967360.85;754632962.18;"2021-12-28T23:59:59.999Z"
"2021-12-27T00:00:00.000Z";"2021-12-27T23:59:59.999Z";"2021-12-27T18:36:25.000Z";"2021-12-27T01:13:15.000Z";70.2690002067;74.2040707956;70.1156228306;70.5095061106;39508059.84;838472605.61;"2021-12-27T23:59:59.999Z"
"2021-12-26T00:00:00.000Z";"2021-12-26T23:59:59.999Z";"2021-12-26T01:56:10.000Z";"2021-12-26T06:43:14.000Z";70.8196509538;71.374564139;67.3282489912;70.2513313666;42123502.8;835154413.35;"2021-12-26T23:59:59.999Z"
"2021-12-25T00:00:00.000Z";"2021-12-25T23:59:59.999Z";"2021-12-25T12:56:10.000Z";"2021-12-25T00:03:29.000Z";70.6767506383;72.3780825485;69.9944196076;70.7594668234;63584959.5;840946190.43;"2021-12-25T23:59:59.999Z"
"2021-12-24T00:00:00.000Z";"2021-12-24T23:59:59.999Z";"2021-12-24T16:40:13.000Z";"2021-12-24T15:05:09.000Z";72.4127889196;74.8386706248;69.0632287904;70.4727753513;111103356.66;837287484.41;"2021-12-24T23:59:59.999Z"
"2021-12-23T00:00:00.000Z";"2021-12-23T23:59:59.999Z";"2021-12-23T20:50:10.000Z";"2021-12-23T07:56:09.000Z";67.9940239161;72.5935744367;65.638579967;72.4214642982;113765035.01;860179605.33;"2021-12-23T23:59:59.999Z"
"2021-12-22T00:00:00.000Z";"2021-12-22T23:59:59.999Z";"2021-12-22T08:23:09.000Z";"2021-12-22T00:32:09.000Z";64.2899370577;70.3512593528;64.0366313835;67.7286752754;97903758.46;804202247.45;"2021-12-22T23:59:59.999Z"
"2021-12-21T00:00:00.000Z";"2021-12-21T23:59:59.999Z";"2021-12-21T23:58:09.000Z";"2021-12-21T01:23:10.000Z";61.3782451318;64.4043610246;60.741797312;64.3967820027;80977059.52;764405901.57;"2021-12-21T23:59:59.999Z"
"2021-12-20T00:00:00.000Z";"2021-12-20T23:59:59.999Z";"2021-12-20T01:14:09.000Z";"2021-12-20T14:35:10.000Z";65.6273690492;65.7285551678;59.5919794345;61.4085781137;97692232.63;728718325.32;"2021-12-20T23:59:59.999Z"
"2021-12-19T00:00:00.000Z";"2021-12-19T23:59:59.999Z";"2021-12-19T15:53:10.000Z";"2021-12-19T01:56:09.000Z";65.4001129163;69.2219003365;64.8089347239;65.4577545035;81125338.84;776533114.79;"2021-12-19T23:59:59.999Z"
"2021-12-18T00:00:00.000Z";"2021-12-18T23:59:59.999Z";"2021-12-18T10:47:09.000Z";"2021-12-18T02:08:09.000Z";66.0988264321;68.1069429485;64.5697303413;65.3212073457;78455966.41;774680941.1;"2021-12-18T23:59:59.999Z"
"2021-12-17T00:00:00.000Z";"2021-12-17T23:59:59.999Z";"2021-12-17T13:38:10.000Z";"2021-12-17T15:18:10.000Z";67.5946571779;69.6202261529;64.0398122931;66.1227156616;124460932.76;783952983.22;"2021-12-17T23:59:59.999Z"
"2021-12-16T00:00:00.000Z";"2021-12-16T23:59:59.999Z";"2021-12-16T10:13:09.000Z";"2021-12-16T01:19:09.000Z";66.8784575157;72.2738911883;66.4392460694;67.5658303092;88856475.15;800820203.17;"2021-12-16T23:59:59.999Z"
"2021-12-15T00:00:00.000Z";"2021-12-15T23:59:59.999Z";"2021-12-15T21:12:12.000Z";"2021-12-15T16:00:16.000Z";60.3757321237;68.5032855288;57.1767237308;66.7942025081;63741256.14;791435321.32;"2021-12-15T23:59:59.999Z"
"2021-12-14T00:00:00.000Z";"2021-12-14T23:59:59.999Z";"2021-12-14T12:22:08.000Z";"2021-12-14T18:47:08.000Z";59.4825866678;61.3546066747;57.7684486593;57.8445020291;46584317.39;685149688.6;"2021-12-14T23:59:59.999Z"
"2021-12-13T00:00:00.000Z";"2021-12-13T23:59:59.999Z";"2021-12-13T00:05:08.000Z";"2021-12-13T19:43:07.000Z";69.1322382048;69.435146422;58.7673191644;59.4819256243;57574712.62;704369349.24;"2021-12-13T23:59:59.999Z"
"2021-12-12T00:00:00.000Z";"2021-12-12T23:59:59.999Z";"2021-12-12T20:24:10.000Z";"2021-12-12T10:17:08.000Z";68.3993974962;70.5278111604;66.4522145739;68.9676434328;32346947.11;816451894.4;"2021-12-12T23:59:59.999Z"
"2021-12-11T00:00:00.000Z";"2021-12-11T23:59:59.999Z";"2021-12-11T16:44:08.000Z";"2021-12-11T00:18:10.000Z";65.6016930741;68.8042347086;64.2590309385;68.4923791152;36654735.05;810577769.5;"2021-12-11T23:59:59.999Z"
"2021-12-10T00:00:00.000Z";"2021-12-10T23:59:59.999Z";"2021-12-10T14:12:08.000Z";"2021-12-10T23:56:08.000Z";67.9816286433;71.2202064944;65.3225134763;65.5730224732;53829817.01;775795248.55;"2021-12-10T23:59:59.999Z"
"2021-12-09T00:00:00.000Z";"2021-12-09T23:59:59.999Z";"2021-12-09T00:18:08.000Z";"2021-12-09T20:35:08.000Z";76.2188217239;76.8382212804;67.4886177068;67.9939392301;63016681.44;804194491.59;"2021-12-09T23:59:59.999Z"
"2021-12-08T00:00:00.000Z";"2021-12-08T23:59:59.999Z";"2021-12-08T06:31:08.000Z";"2021-12-08T11:42:10.000Z";73.8586424967;77.952089548;71.1375327493;76.4353433419;65697456.67;903761945.26;"2021-12-08T23:59:59.999Z"
"2021-12-07T00:00:00.000Z";"2021-12-07T23:59:59.999Z";"2021-12-07T02:17:08.000Z";"2021-12-07T23:02:08.000Z";74.3986828742;79.2471927649;72.5215613053;74.0356798455;87636390.01;875121632.87;"2021-12-07T23:59:59.999Z"
"2021-12-06T00:00:00.000Z";"2021-12-06T23:59:59.999Z";"2021-12-06T23:28:08.000Z";"2021-12-06T11:14:07.000Z";72.8174497194;74.5638262167;64.5231237818;74.3364271395;79399954.94;878409864.78;"2021-12-06T23:59:59.999Z"
"2021-12-05T00:00:00.000Z";"2021-12-05T23:59:59.999Z";"2021-12-05T00:11:09.000Z";"2021-12-05T21:17:09.000Z";80.1325822542;82.7882098941;70.2712855484;72.9101911217;81672749.57;861300391.32;"2021-12-05T23:59:59.999Z"
"2021-12-04T00:00:00.000Z";"2021-12-04T23:59:59.999Z";"2021-12-04T00:00:12.000Z";"2021-12-04T05:28:09.000Z";94.1639819819;94.1639819819;58.3593350665;80.1735747237;155171110.09;946816344.81;"2021-12-04T23:59:59.999Z"
"2021-12-03T00:00:00.000Z";"2021-12-03T23:59:59.999Z";"2021-12-03T13:01:09.000Z";"2021-12-03T20:20:09.000Z";102.0912347905;106.3614952987;88.938611326;93.6183378954;97743309.19;1105262193;"2021-12-03T23:59:59.999Z"
"2021-12-02T00:00:00.000Z";"2021-12-02T23:59:59.999Z";"2021-12-02T00:01:09.000Z";"2021-12-02T18:27:09.000Z";107.6613389971;107.6613389971;100.0760042934;101.9998161749;73111680.55;1203845180.42;"2021-12-02T23:59:59.999Z"
"2021-12-01T00:00:00.000Z";"2021-12-01T23:59:59.999Z";"2021-12-01T00:20:37.000Z";"2021-12-01T21:50:36.000Z";116.264903684;118.5510174551;106.3916503953;107.7394692409;92960808.58;1271185675.74;"2021-12-01T23:59:59.999Z"
"2021-11-30T00:00:00.000Z";"2021-11-30T23:59:59.999Z";"2021-11-30T17:29:40.000Z";"2021-11-30T16:16:14.000Z";116.9296302946;123.8305894183;110.9976718128;116.5146932541;153350979.1;1374323576.7;"2021-11-30T23:59:59.999Z"
"2021-11-29T00:00:00.000Z";"2021-11-29T23:59:59.999Z";"2021-11-29T23:25:16.000Z";"2021-11-29T09:56:09.000Z";107.38798358;117.3395745869;105.9021155518;116.7966339741;85122754.12;1377225029.01;"2021-11-29T23:59:59.999Z"
"2021-11-28T00:00:00.000Z";"2021-11-28T23:59:59.999Z";"2021-11-28T23:38:08.000Z";"2021-11-28T18:43:09.000Z";107.4901332185;109.8908605353;97.840386963;107.3344956805;101688281.36;1265274464.42;"2021-11-28T23:59:59.999Z"
"2021-11-27T00:00:00.000Z";"2021-11-27T23:59:59.999Z";"2021-11-27T02:47:08.000Z";"2021-11-27T00:07:09.000Z";104.5114414024;114.8137496888;103.5313910939;107.2875939915;114370964.41;1264336015.78;"2021-11-27T23:59:59.999Z"
"2021-11-26T00:00:00.000Z";"2021-11-26T23:59:59.999Z";"2021-11-26T04:44:09.000Z";"2021-11-26T23:57:28.000Z";132.441453948;136.881911899;103.4035732401;103.854952314;178875539.54;1223516491.4;"2021-11-26T23:59:59.999Z"
"2021-11-25T00:00:00.000Z";"2021-11-25T23:59:59.999Z";"2021-11-25T23:57:14.000Z";"2021-11-25T13:14:09.000Z";126.7678453082;133.3869376908;117.3835234559;122.284778666;230721940.19;1439909383.04;"2021-11-25T23:59:59.999Z"
"2021-11-24T00:00:00.000Z";"2021-11-24T23:59:59.999Z";"2021-11-24T23:47:07.000Z";"2021-11-24T01:34:08.000Z";109.9153314642;129.1064157786;109.3614668618;116.9346925578;151765138.34;1376428034.32;"2021-11-24T23:59:59.999Z"
"2021-11-23T00:00:00.000Z";"2021-11-23T23:59:59.999Z";"2021-11-23T14:01:10.000Z";"2021-11-23T00:17:09.000Z";102.4717882065;111.9002726363;100.1219450278;109.7246548479;132269495.19;1291495533.86;"2021-11-23T23:59:59.999Z"
"2021-11-22T00:00:00.000Z";"2021-11-22T23:59:59.999Z";"2021-11-22T00:05:07.000Z";"2021-11-22T05:12:07.000Z";114.0802341902;114.56366714;99.5346709151;102.3337376143;120697859.83;1204138705.01;"2021-11-22T23:59:59.999Z"
"2021-11-21T00:00:00.000Z";"2021-11-21T23:59:59.999Z";"2021-11-21T23:59:08.000Z";"2021-11-21T00:39:21.000Z";95.4797799664;114.4663646755;93.883558849;114.4663646755;134292941.01;1346485733.05;"2021-11-21T23:59:59.999Z"
"2021-11-20T00:00:00.000Z";"2021-11-20T23:59:59.999Z";"2021-11-20T03:44:07.000Z";"2021-11-20T00:37:07.000Z";89.3138760893;98.0770679825;88.9773614609;95.4302209858;89313018.92;1122224208.9;"2021-11-20T23:59:59.999Z"
"2021-11-19T00:00:00.000Z";"2021-11-19T23:59:59.999Z";"2021-11-19T17:04:07.000Z";"2021-11-19T03:43:08.000Z";82.56544332;90.7025331957;80.2726557269;89.2643086642;79502543.39;1049390654.76;"2021-11-19T23:59:59.999Z"
"2021-11-18T00:00:00.000Z";"2021-11-18T23:59:59.999Z";"2021-11-18T12:40:08.000Z";"2021-11-18T23:20:08.000Z";86.4403953949;92.4676240831;81.0960569232;82.6859409447;87083376.27;971764970.6;"2021-11-18T23:59:59.999Z"
"2021-11-17T00:00:00.000Z";"2021-11-17T23:59:59.999Z";"2021-11-17T23:59:08.000Z";"2021-11-17T10:37:08.000Z";84.1108341961;86.1077026522;80.8033122569;86.1077026522;54643385.47;1011670249.52;"2021-11-17T23:59:59.999Z"
"2021-11-16T00:00:00.000Z";"2021-11-16T23:59:59.999Z";"2021-11-16T00:00:08.000Z";"2021-11-16T10:14:08.000Z";94.0444655746;94.0444655746;80.7683749578;84.0989696483;82792109.96;987769205.07;"2021-11-16T23:59:59.999Z"
"2021-11-15T00:00:00.000Z";"2021-11-15T23:59:59.999Z";"2021-11-15T02:45:07.000Z";"2021-11-15T18:52:08.000Z";95.8726434301;98.4415409202;92.0561536753;93.8947080332;55902411.25;1102485253.84;"2021-11-15T23:59:59.999Z"
"2021-11-14T00:00:00.000Z";"2021-11-14T23:59:59.999Z";"2021-11-14T00:43:08.000Z";"2021-11-14T17:43:08.000Z";95.646339558;96.724923011;92.5504745981;95.8636528222;50085790.11;1125263134.68;"2021-11-14T23:59:59.999Z"
"2021-11-13T00:00:00.000Z";"2021-11-13T23:59:59.999Z";"2021-11-13T06:28:08.000Z";"2021-11-13T22:10:08.000Z";99.8657981482;103.7641650382;94.1147676262;95.8272525;69628685.1;1124494477.19;"2021-11-13T23:59:59.999Z"
"2021-11-12T00:00:00.000Z";"2021-11-12T23:59:59.999Z";"2021-11-12T02:28:08.000Z";"2021-11-12T16:46:08.000Z";105.6797534654;107.5908078544;94.6170677285;100.0063183921;107595602.19;1173177871.3;"2021-11-12T23:59:59.999Z"
"2021-11-11T00:00:00.000Z";"2021-11-11T23:59:59.999Z";"2021-11-11T18:32:08.000Z";"2021-11-11T00:33:07.000Z";92.741043729;112.9896301499;90.6377365427;105.7764242506;196494620.26;1240492354.3;"2021-11-11T23:59:59.999Z"
